,School,Years,AllTimeGames,AllTimeWins,AllTimeLosses,AllTimeWinPct,AllTimeSRS,AllTimeSOS,FinalPoll,RegSeasonConfChampCount,ConfChampPostCount,NCAAAppCount,NCAAFinalFourCount,NCAAChampCount,Games2023,Wins2023,Losses2023,WinPct2023,SRS2023,SOS2023,ConfWins2023,ConfLosses2023,HomeWins2023,HomeLosses2023,AwayWins2023,AwayLosses2023,Points2023,OppPoints2023,MinutesPlayed2023,FGM2023,FGA2023,FGPct2023,3PM2023,3PA2023,3PPct2023,FTM2023,FTA2023,FTPct2023,OffReb2023,TotReb2023,Assists2023,Steals2023,Blocks2023,Turnovers2023,Fouls2023
0,Abilene Christian,15,431,231,200,0.536,-7.61,-5.38,0,0,2,2,0,0,34,16,18,0.471,-4.12,-1.12,10.0,10.0,8,6,5,10,2452,2500,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
1,Air Force,68,1852,795,1057,0.429,-2.85,1.26,0,1,0,4,0,0,31,9,22,0.29,-4.77,1.43,2.0,16.0,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541
2,Akron,74,1725,1032,693,0.598,0.04,-1.56,0,9,6,6,0,0,35,24,11,0.686,2.77,-2.08,13.0,5.0,13,1,7,6,2577,2316,1405,915,2018,0.453,280,863,0.324,467,642,0.727,363,1278,455,197,100,394,583
3,Alabama,112,2904,1800,1103,0.62,8.15,5.04,18,10,9,25,1,0,37,25,12,0.676,20.69,11.8,13.0,5.0,14,2,5,5,3335,3006,1490,1136,2385,0.476,413,1108,0.373,650,842,0.772,472,1467,587,256,162,438,734
4,Alabama A&M,26,732,281,451,0.384,-16.83,-10.83,0,1,1,1,0,0,35,12,23,0.343,-14.35,-7.52,9.0,9.0,7,5,4,15,2414,2653,1405,806,1918,0.42,148,516,0.287,654,906,0.722,394,1248,369,261,136,565,727
5,Alabama State,43,1248,578,670,0.463,-13.07,-9.56,0,4,4,4,0,0,32,13,19,0.406,-11.73,-6.87,8.0,10.0,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609
6,Albany (NY),26,776,372,404,0.479,-7.29,-6.07,0,2,5,5,0,0,32,13,19,0.406,-6.6,-5.22,5.0,11.0,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621
7,Alcorn State,48,1401,607,794,0.433,-13.61,-8.32,0,12,6,6,0,0,32,14,18,0.438,-11.58,-5.61,13.0,5.0,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567
8,American,59,1648,807,841,0.49,-5.94,-3.98,0,7,3,3,0,0,32,16,16,0.5,-8.96,-8.79,10.0,8.0,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527
9,Appalachian State,52,1523,760,763,0.499,-5.49,-3.23,0,11,3,3,0,0,34,27,7,0.794,6.04,-2.34,16.0,2.0,15,0,8,5,2665,2283,1390,997,2100,0.475,224,674,0.332,447,657,0.68,373,1416,498,209,230,365,449
10,Arizona,118,2895,1916,978,0.662,9.66,5.24,30,26,9,38,4,1,36,27,9,0.75,24.54,9.45,15.0,5.0,15,1,7,4,3137,2594,1465,1124,2321,0.484,284,776,0.366,605,844,0.717,471,1533,665,300,133,430,590
11,Arizona State,110,2703,1439,1264,0.532,5.28,4.28,7,8,0,17,0,0,32,14,18,0.438,4.58,9.55,8.0,12.0,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532
12,Arkansas,102,2821,1805,1016,0.64,8.03,3.39,18,24,7,35,6,1,33,16,17,0.485,6.12,8.15,6.0,12.0,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655
13,Arkansas State,55,1583,810,773,0.512,-3.54,-2.92,0,7,1,1,0,0,37,20,17,0.541,0.28,-1.53,11.0,7.0,10,3,5,11,2917,2850,1485,1021,2313,0.441,341,991,0.344,534,761,0.702,489,1419,536,207,163,414,644
14,Arkansas-Pine Bluff,27,794,234,560,0.295,-19.62,-7.75,0,0,1,1,0,0,31,13,18,0.419,-15.56,-7.6,8.0,10.0,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568
15,Army,123,2642,1309,1333,0.495,-9.15,-4.74,0,0,0,0,0,0,32,10,22,0.313,-14.67,-8.93,6.0,12.0,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506
16,Auburn,119,2736,1485,1250,0.543,6.48,4.51,10,5,3,13,1,0,35,27,8,0.771,22.46,7.66,13.0,5.0,15,1,5,5,2909,2391,1400,1010,2121,0.476,280,795,0.352,609,812,0.75,393,1323,622,258,215,374,678
17,Austin Peay,62,1770,882,888,0.498,-5.66,-3.38,1,8,5,7,0,0,35,19,16,0.543,-6.13,-4.85,10.0,6.0,14,3,4,12,2619,2561,1425,941,2105,0.447,277,768,0.361,460,652,0.706,378,1188,388,250,95,308,615
18,Ball State,54,1568,830,738,0.529,-1.27,-0.95,1,12,7,7,0,0,31,15,16,0.484,-6.68,-5.93,7.0,11.0,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469
19,Baylor,119,2894,1484,1410,0.513,2.91,3.03,11,7,0,16,3,1,35,24,11,0.686,19.5,10.71,11.0,7.0,15,2,4,5,2814,2489,1430,967,2001,0.483,301,773,0.389,579,791,0.732,399,1229,514,236,110,421,577
20,Bellarmine,5,127,59,68,0.465,-7.08,-1.89,0,0,1,0,0,0,31,8,23,0.258,-11.79,-2.47,4.0,12.0,6,7,2,16,2153,2320,1250,797,1837,0.434,238,698,0.341,321,412,0.779,245,1002,420,164,60,297,486
21,Belmont,26,804,539,265,0.67,1.64,-3.34,0,14,8,8,0,0,33,20,13,0.606,2.79,1.44,12.0,8.0,12,2,6,9,2570,2493,1325,922,1939,0.476,301,811,0.371,425,588,0.723,237,1130,504,248,101,402,511
22,Bethune-Cookman,44,1289,473,816,0.367,-16.31,-9.54,0,2,0,0,0,0,34,17,17,0.5,-11.87,-8.87,11.0,7.0,11,2,5,11,2479,2467,1375,860,1994,0.431,199,620,0.321,560,742,0.755,356,1139,414,351,117,471,696
23,Binghamton,24,692,253,439,0.366,-11.22,-5.38,0,1,1,1,0,0,30,15,15,0.5,-9.29,-5.21,7.0,9.0,10,4,5,11,2163,2167,1210,801,1738,0.461,164,536,0.306,397,595,0.667,313,1156,435,150,113,366,498
24,Boise State,54,1583,901,682,0.569,1.41,-0.07,1,7,6,10,0,0,33,22,11,0.667,13.31,7.35,13.0,5.0,13,3,7,3,2479,2221,1330,858,1913,0.449,258,759,0.34,505,686,0.736,384,1231,404,189,78,366,550
